Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
CHEM-102-01,GENERAL CHEMISTRY II,3.0,0.0,WALS,G21,T,10:35 AM,1:05 PM,"Schneider, Patrick",Open,CHEM 101,,,MC,35,35
CHEM-102-02,GENERAL CHEMISTRY II,3.0,0.0,WALS,G21,M,10:35 AM,1:05 PM,"Santos, Alyssa",Open,CHEM 101,,,MC,35,35
CHEM-302-01,ORGANIC CHEMISTRY II,3.0,0.0,DELA,306,M,10:35 AM,1:05 PM,"Ogawa, Motokatsu",Open,CHEM 301,,,MC,36,36
CHEM-402-01,PHYSICAL CHEMISTRY II,3.0,0.0,DELA,316,W,8:00 AM,10:30 AM,"Simpson, Scott",Open,CHEM 401,,,MC,18,18
CHEM-427-01,SEMINAR IN CHEMISTRY,0.0,0.0,DELA,306,FM,1:10 PM,3:40 PM,"Rupprecht, Alexander",Open,SENIOR STANDING,,,MC,10,10
CHEM-441-01,ADVANCED INORGANIC CHEMISTRY,3.0,0.0,DELA,306,T,1:10 PM,3:40 PM,"Ogawa, Motokatsu",Open,CHEM 302 & CHML 302,,,MC,18,18
CHEM-470-01,MECHANISMS IN BIOLOGICAL SYSTM,3.0,0.0,DELA,316,M,10:35 AM,1:05 PM,"Rupprecht, Alexander",Open,CHEM-302,,,MC,18,18
CHEM-498-03,UNDERGRADUATE RESEARCH,1.0,3.0,,,,,,"Simpson, Scott",Open,SOPHOMORE STANDING INSTRUCTOR CONSENT REQUIRED,,,MC,4,4
CHML-102-01,GEN CHEM II LAB,1.0,0.0,WALS,G08,M,,,"Rupprecht, Alexander",Open,,,,MC,16,16
CHML-102-02,GEN CHEM II LAB,1.0,0.0,WALS,G08,T,,,"Santos, Alyssa",Open,,,,MC,16,16
CHML-102-03,GEN CHEM II LAB,1.0,0.0,WALS,G08,W,,,"Schneider, Patrick",Open,,,,MC,16,16
CHML-102-04,GEN CHEM II LAB,1.0,0.0,WALS,G08,TH,,,"Schneider, Patrick",Open,,,,MC,16,16
CHML-302-01,ORGANIC CHEM II LAB,1.0,0.0,WALS,G10,M,,,"Ogawa, Motokatsu",Open,,,,MC,12,12
CHML-302-03,ORGANIC CHEM II LAB,1.0,0.0,WALS,G10,W,,,"Rupprecht, Alexander",Open,,,,MC,12,12
CHML-402-01,PHYSICAL CHEM II LAB,1.0,0.0,DELA,304,TH,,,"Simpson, Scott",Open,,,,MC,14,14
